suite_name,experiment,policy,policy_variant,policy_label,base_policy,x_name,x_value,seed,scale_mode,num_parallel_workers,trial_timeout_sec,max_control_steps,obstacle_count,world_width,world_height,world_area,obstacle_area_sum,occupancy_ratio,min_mass,max_mass,mass_scale,robot_num,physics_condition,physics_factor,obstacle_mass_scale_exec,obstacle_lateral_friction_scale_exec,obstacle_spinning_friction_scale_exec,robot_force_limit_scale_exec,contact_restitution_exec,contact_stiffness_exec,contact_damping_exec,status,reason,success,control_steps,wall_clock_sec,planning_time,exec_time,total_expanded,total_visited,total_sims,mode_generation_time,mode_generation_calls,mode_generation_mean_time,planning_iterations,global_replans,local_replans,replans_total,push_tasks_executed,timeout_kind,timeout_source_x_value,timeout_cap_applied
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,15.0,0,density_scaling,8,800.0,20000,15,8.0,8.0,64.0,6.2833790795604365,0.09817779811813182,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,1355,7.874049186706543,1.6367721557617188,25.14999999999964,3,11,18,0.5037534850016527,18,0.027986304722314042,1,0,1,1,3,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,15.0,1,density_scaling,8,800.0,20000,15,8.0,8.0,64.0,8.235079331235957,0.12867311455056182,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,2070,10.038827419281006,1.5984599590301514,38.87499999999886,3,11,18,0.6616837560013664,18,0.03676020866674258,1,0,2,2,3,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,15.0,2,density_scaling,8,800.0,20000,15,8.0,8.0,64.0,6.804650561035144,0.10632266501617413,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,1741,17.108867406845093,3.7798264026641846,38.42499999999889,5,24,30,0.5577204359979078,34,0.01640354223523258,1,0,2,2,5,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,15.0,3,density_scaling,8,800.0,20000,15,8.0,8.0,64.0,6.544979079560435,0.1022652981181318,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,3518,20.55662250518799,2.643024206161499,79.52500000000096,5,18,30,0.70983648299989,30,0.023661216099996333,2,1,0,1,5,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,15.0,4,density_scaling,8,800.0,20000,15,8.0,8.0,64.0,7.904522418383517,0.12350816278724246,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,3056,18.446077585220337,2.7221431732177734,67.3999999999982,5,15,27,0.4432558290045563,35,0.012664452257273038,2,1,1,2,5,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,15.0,5,density_scaling,8,800.0,20000,15,8.0,8.0,64.0,7.587035740737355,0.11854743344902118,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,1186,8.049975872039795,1.7069261074066162,20.5499999999999,3,5,18,0.4342336220015568,18,0.0241240901111976,2,1,0,1,3,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,15.0,6,density_scaling,8,800.0,20000,15,8.0,8.0,64.0,6.533935402078757,0.10209274065748057,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,822,6.739832639694214,1.087385892868042,15.675000000000155,1,0,6,0.24996093700065103,6,0.041660156166775174,1,0,0,0,1,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,15.0,7,density_scaling,8,800.0,20000,15,8.0,8.0,64.0,6.626579079560436,0.10354029811813181,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,1848,13.913449764251709,2.7051069736480713,37.99999999999891,4,16,24,0.3902012049948098,25,0.015608048199792392,1,0,1,1,4,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,15.0,8,density_scaling,8,800.0,20000,15,8.0,8.0,64.0,7.37270354900696,0.11519849295323376,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,1179,14.235708475112915,3.694753646850586,25.17499999999964,4,18,24,0.4452820189999329,24,0.01855341745833054,1,0,0,0,4,,,0
paper_density_scaling_revision,density,ours,ours,PushAround,ours,obstacle_count,15.0,9,density_scaling,8,800.0,20000,15,8.0,8.0,64.0,7.186250561035145,0.11228516501617414,20.0,30.0,,2,,,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,1000,14.952292680740356,3.040484666824341,22.074999999999815,2,6,12,0.4235769739989337,12,0.03529808116657781,1,0,1,1,2,,,0
