experiment,experiment_canon,policy,policy_variant,policy_label,x_name,x_value,num_trials,num_success,num_timeout,num_timeout_pruned,num_error,success_rate,success_ci95_low,success_ci95_high,status_counts,planning_time_mean_all,planning_time_std_all,planning_time_median_all,planning_time_mean_capped,planning_time_std_capped,planning_time_median_capped,planning_time_mean_success,planning_time_std_success,planning_time_median_success,wall_clock_sec_mean_all,wall_clock_sec_std_all,wall_clock_sec_mean_success,wall_clock_sec_std_success,exec_time_mean_success,exec_time_std_success,control_steps_mean_success,control_steps_std_success,total_sims_mean_success,total_sims_std_success,total_expanded_mean_success,total_expanded_std_success,total_visited_mean_success,total_visited_std_success,planning_iterations_mean_success,planning_iterations_std_success,push_tasks_executed_mean_success,push_tasks_executed_std_success,occupancy_ratio_mean,occupancy_ratio_std
density,density,dfs,dfs,DFS-WCCG,obstacle_count,15.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,17.292815065383913,9.083920741815081,14.354987025260925,17.292815065383913,9.083920741815081,14.354987025260925,17.292815065383913,9.083920741815081,14.354987025260925,39.56156616210937,19.279916904648324,39.56156616210937,19.279916904648324,62.720000000000574,35.29021504295758,2763.6,1478.0230189156205,185.6,99.83452976467275,5.8,3.1198290551460235,185.6,99.83452976467275,1.1,0.31622776601683794,5.8,3.1198290551460235,0.1110611168784283,0.010233747370247162
density,density,dfs,dfs,DFS-WCCG,obstacle_count,20.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,45.93132917881012,47.468515401504696,26.515808939933777,45.93132917881012,47.468515401504696,26.515808939933777,45.93132917881012,47.468515401504696,26.515808939933777,91.03154065608979,76.29882653287102,91.03154065608979,76.29882653287102,110.28250000000757,67.92709843199889,4613.6,2720.578337208633,377.6,378.86942928196845,67.5,182.72641966733886,377.6,378.86942928196845,1.1,0.31622776601683794,10.0,6.912147117775907,0.14635423221104576,0.010985397176318908
density,density,dfs,dfs,DFS-WCCG,obstacle_count,25.0,10,9,1,0,0,0.9,0.5958499732047615,0.9821237869049271,TERMINATED:9;TIMEOUT:1,135.45747842788697,241.08973200575338,40.672781229019165,135.45747842788697,241.08973200575338,40.672781229019165,61.61942047542996,63.672048135659466,36.07473969459534,184.49334218502045,235.83015494509323,116.1037135389116,99.74971194262899,106.86388888889607,39.15701986696395,4427.333333333333,1543.1835600472161,348.44444444444446,222.53489114693403,45.111111111111114,109.46853936684784,348.44444444444446,222.53489114693403,1.0,0.0,9.88888888888889,4.075673086879161,0.179619981723804,0.013977207839615396
density,density,dfs,dfs,DFS-WCCG,obstacle_count,30.0,10,9,1,1,0,0.9,0.5958499732047615,0.9821237869049271,TERMINATED:9;TIMEOUT_PRUNED:1,197.73470599651336,248.36640090679066,106.2244931459427,197.73470599651336,248.36640090679066,106.2244931459427,130.81633999612598,137.90700134509652,99.78517556190492,279.0455779314041,243.26780927324447,221.1617532571157,169.95024968880384,158.41944444446335,62.598161386973324,6457.555555555556,2480.7185506981195,629.3333333333334,473.82697263874707,144.0,359.5691866664884,629.3333333333334,473.82697263874707,1.1111111111111112,0.33333333333333337,15.555555555555555,5.876034187934732,0.20760994906399022,0.013005687999000629
density,density,dfs,dfs,DFS-WCCG,obstacle_count,35.0,10,5,5,1,0,0.5,0.236593090512564,0.7634069094874361,TERMINATED:5;TIMEOUT:4;TIMEOUT_PRUNED:1,483.78278195858,339.5928406439836,557.283283829689,483.78278195858,339.5928406439836,557.283283829689,167.56556391716003,97.43765556921642,121.68728351593018,543.071271443367,283.85760948258735,286.142542886734,127.52702318846165,183.00000000002447,40.542574073444655,7427.4,1620.8427746083207,704.0,306.933217492014,134.6,214.63993104732398,704.0,306.933217492014,1.2,0.44721359549995804,18.2,4.08656334834051,0.23607975629971337,0.017951197265808502
density,density,dfs,dfs,DFS-WCCG,obstacle_count,40.0,10,2,8,5,0,0.2,0.05668215145437519,0.5098375284633583,TERMINATED:2;TIMEOUT:3;TIMEOUT_PRUNED:5,681.6631494045257,253.4612331646577,800.0,681.6631494045257,253.4612331646577,800.0,208.31574702262878,134.30920334034084,208.31574702262878,711.2606887102127,199.51451629919703,356.30344355106354,208.00905076340354,245.58750000001857,64.78865882620367,9956.0,2562.554975020048,864.0,316.7838379715733,199.5,253.85133444597056,864.0,316.7838379715733,2.0,0.0,21.5,2.1213203435596424,0.2654609407183828,0.022339997720516203
density,density,dfs,dfs,DFS-WCCG,obstacle_count,45.0,10,0,10,8,0,0.0,0.0,0.2775327998628892,TIMEOUT:2;TIMEOUT_PRUNED:8,800.0,0.0,800.0,800.0,0.0,800.0,,,,800.0,0.0,,,,,,,,,,,,,,,,,0.27946643664800624,0.016882759840738108
density,density,ours,ours,PushAround,obstacle_count,15.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,2.4614883184432985,0.9211670153454609,2.674065589904785,2.4614883184432985,0.9211670153454609,2.674065589904785,2.4614883184432985,0.9211670153454609,2.674065589904785,13.191570353507995,4.809565304587617,13.191570353507995,4.809565304587617,37.08499999999949,20.99570458715566,1777.5,891.9285285268097,20.7,7.803845206050668,3.5,1.35400640077266,12.4,7.229568912920512,1.3,0.4830458915396479,3.5,1.35400640077266,0.1110611168784283,0.010233747370247162
density,density,ours,ours,PushAround,obstacle_count,20.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,4.929301023483276,1.6928578124845606,5.073889374732971,4.929301023483276,1.6928578124845606,5.073889374732971,4.929301023483276,1.6928578124845606,5.073889374732971,26.90749583244324,8.750572902532753,26.90749583244324,8.750572902532753,56.92499999999883,16.812218605658646,2505.1,674.0084816479191,34.5,5.522680508593631,5.8,0.9189365834726815,25.7,4.8545511292669135,1.3,0.48304589153964794,5.8,0.9189365834726815,0.14635423221104576,0.010985397176318908
density,density,ours,ours,PushAround,obstacle_count,25.0,10,10,0,0,0,1.0,0.7224672001371107,0.9999999999999999,TERMINATED:10,8.187848377227784,2.1731502612220224,7.8379480838775635,8.187848377227784,2.1731502612220224,7.8379480838775635,8.187848377227784,2.1731502612220224,7.8379480838775635,42.27745816707611,11.063747852336615,42.27745816707611,11.063747852336615,77.34000000000091,13.631546337654266,3263.9,563.5398930964082,47.9,9.243015380996255,7.9,1.4491376746189437,37.1,7.385421074281713,1.3,0.4830458915396479,7.9,1.4491376746189437,0.17845177986485422,0.013685845544565336
