experiment,policy_variant,policy_label,base_policy,seed,x_name,x_value,obstacle_count,world_width,world_height,scale_mode,policy_overrides,env_overrides
robot_scaling,ours,PushAround,ours,0,robot_num,2.0,30,8.0,8.0,robot_scaling,"{""load_mode_table"": false, ""mode_gen_via_greedy_opt"": true, ""mode_gen_via_table_query"": false, ""mode_table_file_dir"": ""mode_tables/robot_scaling"", ""open_predict_gui"": false, ""planning_timeout_sec"": 800, ""recursive_depth_presearch"": 0, ""recursive_depth_task_sample"": 2, ""robot_num"": 2, ""search_debug"": false}","{""max_mass"": 30.0, ""min_mass"": 20.0, ""reserve_robot_slots"": 4, ""robot_num"": 2, ""scenario_type"": ""robot_scaling""}"
robot_scaling,ours,PushAround,ours,1,robot_num,2.0,30,8.0,8.0,robot_scaling,"{""load_mode_table"": false, ""mode_gen_via_greedy_opt"": true, ""mode_gen_via_table_query"": false, ""mode_table_file_dir"": ""mode_tables/robot_scaling"", ""open_predict_gui"": false, ""planning_timeout_sec"": 800, ""recursive_depth_presearch"": 0, ""recursive_depth_task_sample"": 2, ""robot_num"": 2, ""search_debug"": false}","{""max_mass"": 30.0, ""min_mass"": 20.0, ""reserve_robot_slots"": 4, ""robot_num"": 2, ""scenario_type"": ""robot_scaling""}"
robot_scaling,ours,PushAround,ours,2,robot_num,2.0,30,8.0,8.0,robot_scaling,"{""load_mode_table"": false, ""mode_gen_via_greedy_opt"": true, ""mode_gen_via_table_query"": false, ""mode_table_file_dir"": ""mode_tables/robot_scaling"", ""open_predict_gui"": false, ""planning_timeout_sec"": 800, ""recursive_depth_presearch"": 0, ""recursive_depth_task_sample"": 2, ""robot_num"": 2, ""search_debug"": false}","{""max_mass"": 30.0, ""min_mass"": 20.0, ""reserve_robot_slots"": 4, ""robot_num"": 2, ""scenario_type"": ""robot_scaling""}"
robot_scaling,ours,PushAround,ours,3,robot_num,2.0,30,8.0,8.0,robot_scaling,"{""load_mode_table"": false, ""mode_gen_via_greedy_opt"": true, ""mode_gen_via_table_query"": false, ""mode_table_file_dir"": ""mode_tables/robot_scaling"", ""open_predict_gui"": false, ""planning_timeout_sec"": 800, ""recursive_depth_presearch"": 0, ""recursive_depth_task_sample"": 2, ""robot_num"": 2, ""search_debug"": false}","{""max_mass"": 30.0, ""min_mass"": 20.0, ""reserve_robot_slots"": 4, ""robot_num"": 2, ""scenario_type"": ""robot_scaling""}"
robot_scaling,ours,PushAround,ours,4,robot_num,2.0,30,8.0,8.0,robot_scaling,"{""load_mode_table"": false, ""mode_gen_via_greedy_opt"": true, ""mode_gen_via_table_query"": false, ""mode_table_file_dir"": ""mode_tables/robot_scaling"", ""open_predict_gui"": false, ""planning_timeout_sec"": 800, ""recursive_depth_presearch"": 0, ""recursive_depth_task_sample"": 2, ""robot_num"": 2, ""search_debug"": false}","{""max_mass"": 30.0, ""min_mass"": 20.0, ""reserve_robot_slots"": 4, ""robot_num"": 2, ""scenario_type"": ""robot_scaling""}"
robot_scaling,ours,PushAround,ours,5,robot_num,2.0,30,8.0,8.0,robot_scaling,"{""load_mode_table"": false, ""mode_gen_via_greedy_opt"": true, ""mode_gen_via_table_query"": false, ""mode_table_file_dir"": ""mode_tables/robot_scaling"", ""open_predict_gui"": false, ""planning_timeout_sec"": 800, ""recursive_depth_presearch"": 0, ""recursive_depth_task_sample"": 2, ""robot_num"": 2, ""search_debug"": false}","{""max_mass"": 30.0, ""min_mass"": 20.0, ""reserve_robot_slots"": 4, ""robot_num"": 2, ""scenario_type"": ""robot_scaling""}"
robot_scaling,ours,PushAround,ours,6,robot_num,2.0,30,8.0,8.0,robot_scaling,"{""load_mode_table"": false, ""mode_gen_via_greedy_opt"": true, ""mode_gen_via_table_query"": false, ""mode_table_file_dir"": ""mode_tables/robot_scaling"", ""open_predict_gui"": false, ""planning_timeout_sec"": 800, ""recursive_depth_presearch"": 0, ""recursive_depth_task_sample"": 2, ""robot_num"": 2, ""search_debug"": false}","{""max_mass"": 30.0, ""min_mass"": 20.0, ""reserve_robot_slots"": 4, ""robot_num"": 2, ""scenario_type"": ""robot_scaling""}"
robot_scaling,ours,PushAround,ours,7,robot_num,2.0,30,8.0,8.0,robot_scaling,"{""load_mode_table"": false, ""mode_gen_via_greedy_opt"": true, ""mode_gen_via_table_query"": false, ""mode_table_file_dir"": ""mode_tables/robot_scaling"", ""open_predict_gui"": false, ""planning_timeout_sec"": 800, ""recursive_depth_presearch"": 0, ""recursive_depth_task_sample"": 2, ""robot_num"": 2, ""search_debug"": false}","{""max_mass"": 30.0, ""min_mass"": 20.0, ""reserve_robot_slots"": 4, ""robot_num"": 2, ""scenario_type"": ""robot_scaling""}"
robot_scaling,ours,PushAround,ours,8,robot_num,2.0,30,8.0,8.0,robot_scaling,"{""load_mode_table"": false, ""mode_gen_via_greedy_opt"": true, ""mode_gen_via_table_query"": false, ""mode_table_file_dir"": ""mode_tables/robot_scaling"", ""open_predict_gui"": false, ""planning_timeout_sec"": 800, ""recursive_depth_presearch"": 0, ""recursive_depth_task_sample"": 2, ""robot_num"": 2, ""search_debug"": false}","{""max_mass"": 30.0, ""min_mass"": 20.0, ""reserve_robot_slots"": 4, ""robot_num"": 2, ""scenario_type"": ""robot_scaling""}"
robot_scaling,ours,PushAround,ours,9,robot_num,2.0,30,8.0,8.0,robot_scaling,"{""load_mode_table"": false, ""mode_gen_via_greedy_opt"": true, ""mode_gen_via_table_query"": false, ""mode_table_file_dir"": ""mode_tables/robot_scaling"", ""open_predict_gui"": false, ""planning_timeout_sec"": 800, ""recursive_depth_presearch"": 0, ""recursive_depth_task_sample"": 2, ""robot_num"": 2, ""search_debug"": false}","{""max_mass"": 30.0, ""min_mass"": 20.0, ""reserve_robot_slots"": 4, ""robot_num"": 2, ""scenario_type"": ""robot_scaling""}"
robot_scaling,ours,PushAround,ours,0,robot_num,3.0,30,8.0,8.0,robot_scaling,"{""load_mode_table"": false, ""mode_gen_via_greedy_opt"": true, ""mode_gen_via_table_query"": false, ""mode_table_file_dir"": ""mode_tables/robot_scaling"", ""open_predict_gui"": false, ""planning_timeout_sec"": 800, ""recursive_depth_presearch"": 0, ""recursive_depth_task_sample"": 2, ""robot_num"": 3, ""search_debug"": false}","{""max_mass"": 30.0, ""min_mass"": 20.0, ""reserve_robot_slots"": 4, ""robot_num"": 3, ""scenario_type"": ""robot_scaling""}"
