policy,scale_mode,seed,obstacle_count,world_width,world_height,world_area,obstacle_area_sum,occupancy_ratio,min_mass,max_mass,mass_scale,robot_num,physics_condition,physics_factor,obstacle_mass_scale_exec,obstacle_lateral_friction_scale_exec,obstacle_spinning_friction_scale_exec,robot_force_limit_scale_exec,contact_restitution_exec,contact_stiffness_exec,contact_damping_exec,status,reason,success,control_steps,wall_clock_sec,planning_time,exec_time,total_expanded,total_visited,total_sims,mode_generation_time,mode_generation_calls,mode_generation_mean_time,planning_iterations,global_replans,local_replans,replans_total,push_tasks_executed,timeout_kind,timeout_source_x_value,timeout_cap_applied,condition,condition_label,family,factor,deviation_pct,num_parallel_workers,trial_timeout_sec,max_control_steps
ours,physics_mismatch,0,30,8.0,8.0,64.0,13.27342780399303,0.2073973094373911,20.0,30.0,,2,nominal,1.0,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,4054,64.91557359695435,17.804489612579346,98.45000000000526,10,52,64,15.717908177010031,80,0.1964738522126254,1,0,5,5,10,,,0,nominal,Nominal,nominal,1.0,0.0,,,
ours,physics_mismatch,1,30,8.0,8.0,64.0,14.65592233140044,0.22899878642813187,20.0,30.0,,2,nominal,1.0,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,6934,83.31803441047668,20.648046493530273,169.37500000002137,16,77,104,21.280655774984552,115,0.1850491806520396,2,1,0,1,16,,,0,nominal,Nominal,nominal,1.0,0.0,,,
ours,physics_mismatch,2,30,8.0,8.0,64.0,12.3741520589791,0.19334612592154843,20.0,30.0,,2,nominal,1.0,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,4041,63.69745922088623,15.810691595077515,98.12500000000519,9,41,54,10.362625497995396,54,0.19190047218509992,2,1,1,2,9,,,0,nominal,Nominal,nominal,1.0,0.0,,,
ours,physics_mismatch,3,30,8.0,8.0,64.0,12.422622079724919,0.19410346999570185,20.0,30.0,,2,nominal,1.0,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,3252,45.212892293930054,15.229583024978638,77.70000000000054,12,58,72,12.670542262005256,76,0.16671766134217442,2,1,0,1,12,,,0,nominal,Nominal,nominal,1.0,0.0,,,
ours,physics_mismatch,4,30,8.0,8.0,64.0,14.1561315144132,0.22118955491270625,20.0,30.0,,2,nominal,1.0,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,5948,57.86567139625549,14.960831642150879,144.05000000001561,14,70,84,16.686168384992925,84,0.19864486172610624,2,1,2,3,14,,,0,nominal,Nominal,nominal,1.0,0.0,,,
ours,physics_mismatch,5,30,8.0,8.0,64.0,13.468307222212067,0.21044230034706354,20.0,30.0,,2,nominal,1.0,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,5380,84.11471605300903,22.310726404190063,131.7000000000128,13,55,81,17.30698521699742,90,0.19229983574441575,3,2,1,3,13,,,0,nominal,Nominal,nominal,1.0,0.0,,,
ours,physics_mismatch,6,30,8.0,8.0,64.0,12.892849883717947,0.20145077943309292,20.0,30.0,,2,nominal,1.0,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,2300,48.22748923301697,15.733816146850586,55.32499999999793,9,46,54,10.338117525994676,54,0.19144662085175326,1,0,1,1,9,,,0,nominal,Nominal,nominal,1.0,0.0,,,
ours,physics_mismatch,7,30,8.0,8.0,64.0,12.341986338987567,0.19284353654668074,20.0,30.0,,2,nominal,1.0,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,2723,32.55852270126343,11.703019618988037,63.59999999999746,9,48,54,11.218136169994978,54,0.2077432624073144,1,0,2,2,9,,,0,nominal,Nominal,nominal,1.0,0.0,,,
ours,physics_mismatch,8,30,8.0,8.0,64.0,13.700595649477698,0.21407180702308903,20.0,30.0,,2,nominal,1.0,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,3296,50.80120778083801,13.551311731338501,79.42500000000094,9,42,54,11.974695595006779,54,0.22175362212975516,2,1,1,2,9,,,0,nominal,Nominal,nominal,1.0,0.0,,,
ours,physics_mismatch,9,30,8.0,8.0,64.0,13.57076358194545,0.21204318096789765,20.0,30.0,,2,nominal,1.0,1.0,1.0,1.0,1.0,,,,TERMINATED,task_done,1,5294,79.13960766792297,20.339096546173096,128.77500000001214,13,52,75,14.933817393992285,95,0.15719807783149775,2,1,2,3,13,,,0,nominal,Nominal,nominal,1.0,0.0,,,
