Experiment,Policy,x,Success,Success rate,Planning time capped (s),Planning time succ. (s),Planning time raw all (s),Wall time succ. (s),# rollouts succ.,# expanded succ.,# pushes succ.,Status
density,DFS-WCCG,15,10/10,100%,17.3±9.1,17.3±9.1,17.3±9.1,39.6±19.3,186±100,6±3,5.8±3.1,TERMINATED:10
density,PushAround,15,10/10,100%,2.5±0.9,2.5±0.9,2.5±0.9,13.2±4.8,21±8,4±1,3.5±1.4,TERMINATED:10
density,PushAround w/o rec.,15,10/10,100%,2.1±0.8,2.1±0.8,2.1±0.8,14.7±5.3,21±8,4±1,3.5±1.4,TERMINATED:10
density,Rec-NAMO,15,10/10,100%,15.8±12.4,15.8±12.4,15.8±12.4,78.5±63.7,0±0,4±3,11.8±7.8,TERMINATED:10
density,SL-Push (sim),15,10/10,100%,4.9±4.8,4.9±4.8,4.9±4.8,48.9±45.3,28±18,14±9,13.8±9.1,TERMINATED:10
density,DFS-WCCG,20,10/10,100%,45.9±47.5,45.9±47.5,45.9±47.5,91.0±76.3,378±379,68±183,10.0±6.9,TERMINATED:10
density,PushAround,20,10/10,100%,4.9±1.7,4.9±1.7,4.9±1.7,26.9±8.8,34±6,6±1,5.8±0.9,TERMINATED:10
density,PushAround w/o rec.,20,10/10,100%,4.3±1.3,4.3±1.3,4.3±1.3,27.6±8.2,34±5,6±1,5.7±0.8,TERMINATED:10
density,Rec-NAMO,20,6/10,60%,353.5±385.5,55.8±40.4,353.5±385.5,155.9±103.2,0±0,6±4,20.0±10.3,TERMINATED:6;TIMEOUT:4
density,SL-Push (sim),20,8/10,80%,165.9±334.2,7.4±2.7,90.2±249.7,77.8±28.7,44±20,22±10,21.9±10.2,TERMINATED:9;TIMEOUT:1
density,DFS-WCCG,25,9/10,90%,135.5±241.1,61.6±63.7,135.5±241.1,116.1±99.7,348±223,45±109,9.9±4.1,TERMINATED:9;TIMEOUT:1
density,PushAround,25,10/10,100%,8.2±2.2,8.2±2.2,8.2±2.2,42.3±11.1,48±9,8±1,7.9±1.4,TERMINATED:10
