condition,label,family,factor,deviation_pct,obstacle_count,robot_num,world_width,world_height,num_trials,num_success,success_rate,success_ci95_low,success_ci95_high,replans_mean_all,replans_std_all,planning_time_mean_success,planning_time_std_success,exec_time_mean_success,exec_time_std_success,push_tasks_mean_success,push_tasks_std_success
spin_0p6,Spin friction ×0.6,contact_dynamics,0.6,40.0,30,2,8.0,8.0,10,10,1.0,0.7224672001371107,0.9999999999999999,2.7,2.406010991015812,14.143168091773987,2.5134287476007033,91.12500000000398,27.91506711836007,10.5,1.4337208778404378
spin_0p8,Spin friction ×0.8,contact_dynamics,0.8,20.0,30,2,8.0,8.0,10,10,1.0,0.7224672001371107,0.9999999999999999,2.0,0.9428090415820634,15.395314049720763,3.8098004653425424,100.87750000000645,44.48127329126208,11.2,2.5298221281347035
spin_1p2,Spin friction ×1.2,contact_dynamics,1.2,20.0,30,2,8.0,8.0,10,9,0.9,0.5958499732047615,0.9821237869049271,2.2,1.398411797560202,14.865245978037516,1.713923278327914,98.86666666667233,31.37360305655726,10.666666666666666,1.9364916731037085
spin_1p4,Spin friction ×1.4,contact_dynamics,1.4,40.0,30,2,8.0,8.0,10,10,1.0,0.7224672001371107,0.9999999999999999,3.2,1.9888578520235065,16.457552313804626,5.3052523552407225,109.23500000000789,39.61033324778643,11.4,2.5473297566057065
force_0p6,Force limit ×0.6,force_limit,0.6,40.0,30,2,8.0,8.0,10,9,0.9,0.5958499732047615,0.9821237869049271,8.1,9.746224340168293,29.66420004102919,17.739595457980684,159.61388888890426,75.51259633241742,21.0,10.954451150103322
force_0p8,Force limit ×0.8,force_limit,0.8,20.0,30,2,8.0,8.0,10,10,1.0,0.7224672001371107,0.9999999999999999,3.0,2.260776661041756,16.90370616912842,4.851319470910411,121.31500000001063,56.97977370183707,12.5,3.6590830666833583
force_1p2,Force limit ×1.2,force_limit,1.2,20.0,30,2,8.0,8.0,10,9,0.9,0.5958499732047615,0.9821237869049271,1.5,1.1785113019775793,14.695581648084852,3.249169570372491,91.41388888889318,37.73369704073148,10.88888888888889,2.4720661623652207
force_1p4,Force limit ×1.4,force_limit,1.4,40.0,30,2,8.0,8.0,10,10,1.0,0.7224672001371107,0.9999999999999999,3.2,2.2997584414213788,15.14518301486969,4.6238905717312075,93.28250000000449,36.96799676372535,10.6,2.6331223544175333
friction_0p6,Lateral friction ×0.6,friction,0.6,40.0,30,2,8.0,8.0,10,9,0.9,0.5958499732047615,0.9821237869049271,3.4,2.5473297566057065,16.446130090289646,6.887084239129229,130.19166666667545,68.43313684722365,11.11111111111111,3.0595932917809696
friction_0p8,Lateral friction ×0.8,friction,0.8,20.0,30,2,8.0,8.0,10,10,1.0,0.7224672001371107,0.9999999999999999,2.8,2.1499353995462798,14.000330185890197,2.212148248851136,100.01750000000604,39.744042268420685,10.4,1.837873166945363
friction_1p2,Lateral friction ×1.2,friction,1.2,20.0,30,2,8.0,8.0,10,10,1.0,0.7224672001371107,0.9999999999999999,2.7,1.1595018087284057,15.838236832618714,4.004845782969245,110.90500000000836,44.39791317669458,11.7,2.5841396591085743
friction_1p4,Lateral friction ×1.4,friction,1.4,40.0,30,2,8.0,8.0,10,10,1.0,0.7224672001371107,0.9999999999999999,4.0,4.371625682868,19.83832266330719,7.302900924206861,116.52250000000939,41.545703498285484,14.5,4.766783215358364
mass_0p6,Mass ×0.6,mass,0.6,40.0,30,2,8.0,8.0,10,10,1.0,0.7224672001371107,0.9999999999999999,2.3,1.7029386365926402,15.857833361625671,4.802131636957478,96.1925000000052,37.89916088561781,10.6,2.3190036174568114
mass_0p8,Mass ×0.8,mass,0.8,20.0,30,2,8.0,8.0,10,10,1.0,0.7224672001371107,0.9999999999999999,3.5,2.273030282830976,15.263109493255616,4.545337476681362,94.99750000000483,45.48850198127992,10.6,2.988868236194652
mass_1p2,Mass ×1.2,mass,1.2,20.0,30,2,8.0,8.0,10,10,1.0,0.7224672001371107,0.9999999999999999,2.7,2.002775851439974,16.32181270122528,3.644918811690828,108.49000000000774,35.38817716884944,11.3,2.110818693198342
mass_1p4,Mass ×1.4,mass,1.4,40.0,30,2,8.0,8.0,10,10,1.0,0.7224672001371107,0.9999999999999999,4.4,3.8355066303046734,19.807687592506408,7.306193348443623,124.05000000001105,57.09324731428727,14.2,6.051629716218783
nominal,Nominal,nominal,1.0,0.0,30,2,8.0,8.0,10,10,1.0,0.7224672001371107,0.9999999999999999,2.3,1.2516655570345725,16.809161281585695,3.3863507906560977,104.65250000000692,37.44192623621796,11.4,2.547329756605707
